EventID,EventTitle,Status,EventStartDate,District,EventCategory,EventSubCategory,EventDescr
E-07-00026,D7 Free Dump Day Multiple Locations,Active,10/14/2023,7,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"It's time to get rid of unwanted bulky items. We will be accepting bulky item waste at 5 locations across the City.

Event Locations:

11050 Pendleton Street, Sun Valley
8840 Vanalden Avenue, Northridge
1400 North Gaffey Street, San Pedro
2027 Stoner Avenue, Los Angeles
2201 East Washington Boulevard, Los Angeles"
E-07-00027,D7 Free Dump Day Multiple Locations,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"It's time to get rid of unwanted bulky items. We will be accepting bulky item waste at 5 locations across the City.

Event Locations:

East Valley District Yard 11050 Pendelton St. Sun Valley, CA 91352
West Valley District Yard 8840 Vanalden Ave. Northridge, CA 91234
Harbor District Yard 1400 N. Gaffey St. San Pedro, CA 90731
West LA District Yard 2027 Stoner Ave. Los Angeles, CA 90025
Central LA Recycling and Transfer Station 2201 E. Washington Bl. Los Angeles, CA 90021"
E-09-00028,Chalfant Dump Day,Active,09/24/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,Dump Day for the Community of Chalfant
E-09-00029,Benton Dump Day ,Active,09/16/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Dump Day for Benton, CA"
E-07-00030,Free Dump Day,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Paper Shredding;Electronics;Miscellaneous Large Item,"  ! Get ready to get rid of your bulky items for FREE! The City of Oxnard, in partnership with Caltrans, invites all Oxnard residents to dispose of their bulky items, trash and unwanted items* for FREE at the Del Norte Drop-Off Day events!

These free events provide the public with a place to dispose of their waste materials to discourage and prevent illegal dumping on the roadways."
E-07-00031,FREE BULKY ITEM DROP-OFF,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Tire Amnesty;Miscellaneous Large Item,"FREE BULKY ITEM DROP-OFF
For Los Angeles Residents
One visit per Saturday Event.
Two ton vehicle limit (no larger than flat/stake bed truck).
Information provided to station staff must be true and accurate"
E-07-00032,FREE BULKY ITEM DROP-OFF KEEP LA CLEAN,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Tire Amnesty;Miscellaneous Large Item,"One visit per Saturday Event.
Two ton vehicle limit (no larger than flat/stake bed truck).
Information provided to station staff must be true and accurate."
E-07-00033,FREE BULKY ITEM DROP-OFF KEEP LA CLEAN ,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Tire Amnesty;Miscellaneous Large Item,"One visit per Saturday Event.
Two ton vehicle limit (no larger than flat/stake bed truck).
Information provided to station staff must be true and accurate."
E-07-00034,FREE BULKY ITEM DROP-OFF KEEP LA CLEAN,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Tire Amnesty;Miscellaneous Large Item,"One visit per Saturday Event.
Two ton vehicle limit (no larger than flat/stake bed truck).
Information provided to station staff must be true and accurate."
E-07-00035,FREE BULKY ITEM DROP-OFF KEEP LA CLEAN,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Tire Amnesty;Miscellaneous Large Item,"One visit per Saturday Event.
Two ton vehicle limit (no larger than flat/stake bed truck).
Information provided to station staff must be true and accurate."
E-07-00036,FREE BULKY ITEM DROP-OFF KEEP LA CLEAN,Active,11/18/2023,7,Dump Day,Mattress and Furniture;Tire Amnesty;Miscellaneous Large Item,"One visit per Saturday Event.
Two ton vehicle limit (no larger than flat/stake bed truck).
Information provided to station staff must be true and accurate."
E-12-00037,D12 Dump Day - Irvine,Active,10/14/2023,12,Dump Day,Mattress and Furniture;Paper Shredding;Miscellaneous Large Item,"Drop off your bulky household waste at no cost!

Caltrans staff will be on-site to collect household items that are too bulky for residential garbage bins, such as mattresses, furniture and toys.

The following items will NOT be accepted at this event:
- Hazardous materials (batteries, paints, oils, chemicals, pesticides, smoke detectors, fluorescent lights, etc.)
- E-waste or universal waste (anything with a circuit board or battery)
- Concrete, dirt, rocks, brick, asphalt, or sand
- Treated wood
- Tires

Space is limited. Waste may not be accepted once capacity is reached. Please cover your load. Uncovered loads may not be accepted. This event is organized to further Caltrans' goal of keeping our highways litter-free as part of the Clean California Initiative.

Contact: christianne.smith@dot.ca.gov"
E-01-00038,Ukiah Community Dump Voucher,Active,10/14/2023,1,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Community Dump Voucher at the Pumpkinfest in Ukiah. Booth Oct. 14 and 15, half to be handed out each day of the event. "
E-05-00039,"Ciclovia/Open Streets in Salinas, Monterey County",Active,10/15/2023,5,Beautification Project;Community Engagement,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,Caltrans is partnering with City of Salinas on a community event from 10am to 2pm to help promote our art mural state beautification project that was recently completed.
E-04-00040,D-4 Reviving the Heart of Pittsburg Pride Groundbreaking,Active,10/20/2023,4,Groundbreaking;Local Grant Project,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Friday, October 20, 2023
Time: 9:30-10:30 am

Location: Intersection of Railroad Avenue and 8th street (675 Railroad Avenue, Pittsburg CA this is an address to the location). "
E-11-00041,D11 Dump Day Event at Escondido Maintenance Facility,Active,10/21/2023,11,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Caltrans District 11 is announcing Clean California Dump Day events in San Diego and Imperial counties. Caltrans welcomes the public to bring non-hazardous, unwanted items to the nearest Dump Day event where staff will be on-site to accept household waste and approved debris free of charge."
E-11-00042,D11 Dump Day Event at Kearny Mesa Maintenance Facility,Active,10/21/2023,11,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Caltrans District 11 is announcing Clean California Dump Day events in San Diego and Imperial counties. Caltrans welcomes the public to bring non-hazardous, unwanted items to the nearest Dump Day event where staff will be on-site to accept household waste and approved debris free of charge."
E-05-00043,"Community Dump Day in Gonzales, Monterey County",Active,10/21/2023,5,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Free Community Dump Day in Gonzales, Monterey County with Tri-Cities Disposal/Recycling from 9am to noon."
E-02-00044,D2 City of Anderson Free Dump Day,Active,10/21/2023,2,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item,"Caltrans and the City of Anderson have partnered so you can get rid of your old metal, mattresses, household waste, and recycling for FREE at the Shasta District Fairgrounds. Participants are responsible for disposing of their own trash into receptacles.

Eligible waste for disposal:

Metal
Mattresses
Recycling
Household waste
Event is restricted to City of Anderson residents and excludes business waste. Free Dump Day is a partnership with the Waste Management, City of Anderson and Caltrans Clean California program. To learn more visit CleanCA.com. Questions? Contact D2PIO@dot.ca.gov. To learn more, visit cleanca.com

Questions? Email D2PIO@DOT.ca.gov."
E-03-00045,D2 Greenville Landscaping Project Ribbon Cutting Ceremony,Active,10/21/2023,2,Beautification Project;Ribbon Cutting,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item,"The Project:

Rebuilding of Greenville following the Dixie Fire is being addressed with an emergency project. Following the reconstruction, this project with provide landscaping and landscape irrigation along the state highway within the downtown portion of the community. In addition, it will replace any trees lost due to the Dixie Fire within the State Right of Way and the project limits.

Project Benefits:

The purpose of this project is to enhance and bring back a small, vibrant community. The Dixie Fire decimated the community of Greenville. Few trees and other vegetation in the area survived. Other aesthetic features in the community, such as historic buildings, were destroyed.

Project Includes:

Re-installing irrigation and landscaping along state right-of-way along State Route 89 in downtown Greenville.

Current Project Schedule:

There are an estimated 30 working days for this project, all which will not require traffic control. Construction is currently scheduled for 2023.

Project Funding Estimates:

Total project cost (including support) is $486K. This project is made possible by the Clean California Program.

Receive Updates:

Follow Caltrans District 2 on Facebook and Twitter.

Contacts:

Project Manager: Robert Burnett Jr.

Public Information Officer: Samantha O’Reilly"
E-04-00046,D-4 Mariposa Park At-A-Glance Ribbon Cutting,Active,10/24/2023,4,Local Grant Project;Ribbon Cutting,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item,"Join the City of San José Parks, Recreation, and Neighborhood Services Department, Councilmember Bien Doan, community members, and partner agencies as we unveil a new park in the Tropicana-Lanai neighborhood.

This 0.15-acre neighborhood park features a playground, tables, benches, landscaping, irrigation, and an open-area for gatherings.

The name ‘Mariposa Park’ reflects the mural on the adjacent Highway 101 soundwall, titled “El Sueño de la Mariposa” or “The Butterfly’s Dream,” by Bay Area muralist Morgan Bricca.

The development of this park was made possible through the advocacy of LUNA and District 7 community members. The Open Space Authority provided a grant of $250,000 and Caltrans’ Clean California State Beautification Program provided an additional $500,000 to fund this new public space along the state highway system.

For more information about PRNS parks and facilities, visit www.sanjoseca.gov/prns. For updates, follow @sjparksandrec on Facebook, Instagram and Twitter."
E-05-00047,Arbor Day Tree Planting,Active,11/04/2023,5,Other,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item,The City of San Luis Obispo has scheduled a tree planting in French Park on Arbor Day. Some Caltrans staff will participate in the event and promote/document it on social media.
E-04-00048,Oakland Gives Back Community Cleanup,Active,11/18/2023,4,Community Engagement;Clean Up,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item,"Clean CA, Keep Oakland Beautiful, Keep California Beautiful, Keep America Beautiful, Toyota and UCP are partnering to clean up Grove Shafter Park.

Grove Shafter Park 
MLK Way & 36th Oakland, CA
Saturday, November 18, 2023
9 am - 12:30 pm
Register @ bit.ly/oakgivesnack
"
E-09-00049,Walker Dump Day,Active,11/04/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Dump Day for Walker, CA "
E-09-00050,Tehachapi Tire Amnesty,Active,12/02/2023,9,Dump Day,Tire Amnesty,Tire Amnesty for Tehachapi
E-09-00051,Ridgecrest Tire Amnesty,Active,12/02/2023,9,Dump Day,Tire Amnesty,Tire Amnesty for Ridgecrest
E-09-00052,Mojave-Rosamond Tire Amnesty,Active,12/02/2023,9,Dump Day,Tire Amnesty,Tire Amnesty for Mojave-Rosamond
E-05-00054,We Love Nipomo (SLO County) Clean-Up,Active,11/12/2023,5,Other,Tire Amnesty,"Community groups are organizing a town-wide clean-up event on Sunday, Nov. 12 from 9am to noon. Caltrans will participate and provide trash bags, pickers and gloves."
E-09-00055,D9 Clean California Bishop Landfill Dump Day,Active,11/04/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,Bishop Landfill
E-08-00056,City of Needles Local Grant Groundbreaking,Active,12/06/2023,8,Groundbreaking;Local Grant Project,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Location: Needles Marina Resort
Project Description: The City of Needles’ Marina Park First Beach project will transform a makeshift local hangout by removing litter and debris and beautifying the area with public art and education features that mark the tribal and historical significance of our land. The project will revitalize an area with litter and unsavory activity into a destination with restrooms, native plants, a shaded recreation area and a walking trail lined with educational markers. Key project elements include a grassy knoll, shade trees, a walking path, a shaded play area, and shaded picnic tables and benches. The project will add garbage and recycling bins to reduce littering, and educational stones to celebrate Needles' rich history."
E-12-00058,Costa Mesa Dump Day,Active,12/02/2023,12,Dump Day,Mattress and Furniture;Electronics;Miscellaneous Large Item,"Bulky item disposal and e-waste event.
Prohibited items:
- Hazardous materials
- Concrete, dirt, rocks, brick, asphalt, or sand
- Treated wood
- Tires"
E-04-00059,Clean CA Cleanup,Active,11/12/2023,4,Clean Up,Mattress and Furniture;Electronics;Miscellaneous Large Item,"Keep America Beautiful, Keep California Beautiful and Refuse Refuse San Francisco and Clean CA hosting a litter pickup at Delores Park in San Francisco."
E-04-00060,Oakland Community Clean Up,Active,11/18/2023,4,Community Engagement;Clean Up,Mattress and Furniture;Electronics;Miscellaneous Large Item,"Clean CA, Keep Oakland Beautiful, Urban Compassion Project, and the Oakland community to clean up, beautify and preserve Grove Shafter Park for everyone to enjoy. To reach the statewide goal of zero litter, collaboration is essential— we all need to do our part to keep the Bay Area litter free."
